PTM#,Final determination,genetic match/notes,Determination in the field,Vial in Martone Lab?,Extracted?,Date of Extraction,PCR date (psbA),psbA sequence?,PCR date (CO1),CO1 sequence?,PCR date (rbcL),RbcL sequence?,SSU sequence?,Red/Green/Brown,Locality,Date Collected,Notes,Accession #,Missing accession,Habitat,Fragments available?,Latitude,Longitude,Main Collector,Other collectors ,Determiners
530,,PCR failed 3 times; try re-extraction,Coralline crust,,yes,7/3/2013,,,,,,,,Coralline,"Hakai, Port Reef",27-May-13,,A89851,,"subtidal, 17m",,,,,,
531,,PCR failed 3 times; PCR failed with re-extracted DNA,Coralline crust,,yes; re-extracted 2xii13,7/3/2013,"15i14 (with 2xii14 DNA, failed)",,,,,,,Coralline,"Hakai, Port Reef",27-May-13,,A89852,,"subtidal, 18m",,,,,,
532,,sequence 99.61% match with Metacaprella kennerlyi (an animal) in BOLD,Polysiphonia hendryi var. luxurians,yes,x (JN),5/29/2015,,,"6/01/2015, +ve",x (JN),,,,Red,"Hakai, Port Reef",27-May-13,"Covered in caprellids, ground material reached half 0.1 mark, little ground material left in vial",A89853,,"subtidal, 13m",,,,,,
533,,PCR fail,Macrocystis pyrifera,yes,x (JN),6/23/2015,,,"7/8/2015, -ve",,,,,Brown,"Hakai, Maey Island",27-May-13,"no genetic sample left, ground material reached half 0.1 mark; PCR failed full strength & after 1:10 & 1:40 dilutions",A89854,,"subtidal, 3.5m",,,,,,
534,Agarum fimbriatum,sequence 99.78% match in BOLD,Agarum fimbriatum,yes,x (JN),6/23/2015,,,"7/8/2015, faint bands",,,,,Brown,"Hakai, Maey Island",27-May-13,"no genetic sample left, ground material reached half 0.1 mark, faint bands for 1:10 & 1:40 dilutions, PCR failed full strength",A89855,,"subtidal, 3.5m",,,,,,
535,,CO1 messy; no other gene attempted,Polysiphonia paniculata,yes,x (JN),5/29/2015,,,"6/01/2015, faint +ve",x (JN) sequence is messy,,,,Red,"Hakai, Maey Island",27-May-13,"On pebble, very little ground material obtained, ground material was very mushy, no genetic sample left over, green colouring on tips of sample",A89856,,"subtidal, 3.5m",,,,,,
536,Gloiocladia laciniata,sequence 100% match with Gloiocladia sp. 1laciniata,Gloiocladia laciniata,yes,x (JN),5/29/2015,,,"6/01/2015, +ve",x (JN),,,,Red,"Hakai, Maey Island",27-May-13,"On worm tube in shellsand; female, ground material reached a little under half 0.1 mark, no genetic sample left over",A89857,,"subtidal, 3.5m",,,,,,
537,,PCR fail,Saccharina latissima,yes,x (JN),6/23/2015,,,"7/8/2015, -ve",,,,,Brown,"Hakai, Maey Island",27-May-13,"left over ground material in vial, ground material reached half 0.1 mark, PCR failed full strength & after 1:10 & 1:40 dilution; check Jimmys notebook for nanodrop results",A89858,,"subtidal, 2m",,,,,,
538,Bossiella orbigniana,,Bossiella orbigniana,,yes,7/3/2013,,x(KH),,,,,,Coralline,"Hakai, Maey Island",27-May-13,,A89859,,"subtidal, 3.5m",,,,,,
539,Ceramium pacificum,sequence 100% match in BOLD,Ceramium pacificum,yes,x (JN),5/29/2015,,,"6/01/2015, +ve",x (JN),,,,Red,"Hakai, Maey Island",27-May-13,"ground material was very sticky, did not reach half 0.1 mark, no genetic sample left over",A89860,,"subtidal, 3.5m",,,,,,
540,,both forward and reverse CO1 sequences are relatively clean - but no seq. match‰Û_.animal contaminant?; rbcL failed.,Callithamnion acutum,yes,x (JN),6/4/2015,,,"6/24/2015, +ve",x (JN); sequence clean,,,,Red,"Hakai, Maey Island",27-May-13,"On wormtube in shellsand, ground material is pasty, no genetic sample left in vial, ground material did not reach half 0.1 mark",A89861,,"subtidal, 3.5m",,,,,,
541,Gracilaria pacifica,sequence 100% match in BOLD,Gracilaria sp.,yes,x (JN),6/4/2015,,,"6/24/2015, +ve",x (JN),,,,Red,"Hakai, Maey Island",27-May-13,"Tangled in Sarcodiotheca, ground material was clumped together, no genetic sample left in vial",A89862,,"subtidal, 3.5m",,,,,,
542,Pugetia fragilissima,sequence 100% match in BOLD,Salishia firma,yes,x (JN),6/4/2015,,,"6/24/2015, +ve",x (JN),,,,Red,"Hakai, Maey Island",27-May-13,"Female, lots of silicia attached to genetic sample, reached half 0.1 mark",A89863,,"subtidal, 3.5m",,,,,,
543,,messy CO1 contamination; messy rbcL,Antithamnion defectum,yes,x (JN),6/4/2015,,,"6/24/2015, +ve",x (JN); sequence somewhat clean,,,,Red,"Hakai, Maey Island",27-May-13,"On wormtube in shellsand, ground material was very pasty, no genetic sample left in vial",A89864,,"subtidal, 3.5m",,,,,,
544,Melobesioideae sp. 1/Lithothamnion sp. 1,match to Sandra's CO1_Lithothamnion_sp1_rhodolith,Coralline crust ,,yes,7/3/2013,16viv13(failed); 30viv13,x(KH),,,,,,Coralline,"Hakai, Maey Island",27-May-13,"From Paul:  matches two sequences I have from Sandra, one labeled CO1 from Kinzarof Lagoon (no number) and the other CO3 (SCL14529).  Clearly Melobesioideae, but this subfamily/family is a complete mess in terms of genera, particularly with respect to Leptophytum",A89865,,"subtidal, 3.5m",,,,,,
545,Coilodesme sp. 1GWS,"sequence 99.78% match in BOLD; 97.67% match with Coilodesme bulligera, it appears there are two species falling under this name - about -3-4% divergent in CO1",Coilodesme bulligera,yes,x (JN),6/23/2015,,,"6/25/2015, +ve",x (JN),,,,"Brown","Hakai, Maey Island",27-May-13,"no genetic sample left in vial, ground material reached half 0.1 mark",A89866,,"subtidal, 3.5m",,,,,,
546,Bossiella sp. 2chiloensis,,Bossiella orbigniana,,yes,7/3/2013,,x(KH),,,,,,Coralline,"Hakai, Maey Island",27-May-13,very spatulate intergen.,A89867,,"subtidal, 3.5m",,,,,,
547,Bossiella manzae,mixed collection?,Bossiella sp. ,,yes,7/3/2013,,x(KH),,,,,,Coralline,"Hakai,  Fifth Beach Exposed Pt. ",28-May-13,conceptacles dorsal and ventral; potentially mixed ,A89868,,low tidepool,,,,,,
548,Chiharaea silvae,,Bossiella sp. ,,yes,7/4/2013,,x(KH),,,,,,Coralline,"Hakai,  Fifth Beach - btw 5th + 6th Beach",28-May-13,,A89869,,"under Alaria, low ",,,,,,
549,Bossiella frondifera,,Bossiella frondifera,,yes,7/4/2013,,x(KH),,,,,,Coralline,"Hakai,  Fifth Beach Exposed Pt. ",28-May-13,Lush form; same as 547?,A89870,,"low, exposed point",,,,,,
550,Bossiella frondifera,,Bossiella sp. #4 chiloensis,,yes,7/4/2013,,x(KH),,,,,,Coralline,"Hakai,  Fifth Beach Exposed Pt.",28-May-13,,A89871,,low intertidal,,,,,,
551,Bossiella frondescens,,Bossiella sp. ,,yes,7/4/2013,,x(KH),,,,,,Coralline,"Hakai,  Fifth Beach Exposed Pt.",28-May-13,nearly rhizomitous; mangled; tiny intergenicula; sagitate ,A89872,,high intertidal,,,,,,
552,Bossiella sp. 5chiloensis,,Bossiella sp. #5 chiloensis,,yes,7/4/2013,,x(KH),,,,,,Coralline,"Hakai,  Fifth Beach Exposed Pt.",28-May-13,,A89873,,low tidepool,,,,,,
553,Bossiella hakaiensis,moderate/good CO1 - get reverse psbA if we don't have it,Bossiella sp. ,,yes,7/4/2013,13viv13,x(KH),,,9xii13,,,Coralline,"Hakai,  Fifth Beach Exposed Pt.",28-May-13,,A89874,,"mid tidepool, exposed",,,,,,
554,Chiharaea silvae,may be mixed collection,Bossiella sp. ,,yes,7/4/2013,,x(KH),,,,,,Coralline,"Hakai,  Fifth Beach Exposed Pt.",28-May-13,,A89875,,"mid tidepool, exposed",,,,,,
555,Bossiella sp. 5chiloensis,,Bossiella sp. #5 chiloensis,,yes,7/4/2013,,x(KH),,,,,,Coralline,"Hakai,  Fifth Beach Exposed Pt.",28-May-13,frilly;adventitious,A89876,,low intertidal,,,,,,
556,Johansenia macmillanii,,Johansenia macmillanii,,yes,7/16/2013,,x(KH),,,,,,Coralline,"Hakai,  Fifth Beach Exposed Pt.",28-May-13,,A89877,,low intertidal on wall,,,,,,
557,Bossiella manzae,,Bossiella sp. #4 chiloensis,,yes,7/16/2013,,x(KH),,,,,,Coralline,"Hakai,  Fifth Beach Exposed Pt.",28-May-13,,A89878,,mid intertidal,,,,,,
558,Pseudolithophyllum sp. 1whidbeyense,#NAME?,Pseudolithophyllum whidbeyense,,yes,7/16/2013,,x(KH),,,,,,Coralline,"Hakai,  Fifth Beach Exposed Pt.  (boulder channel)",28-May-13,swirly with white margins,A89879,,low intertidal,,,,,,
559,Bossiella dichotoma,,Bossiella sp. #2 chiloensis,,yes,7/16/2013,,x(KH),,,,,,Coralline,"Hakai,  Fifth Beach Exposed Pt. ",28-May-13,on rock,A89880,,low intertidal,,,,,,
560,Bossiella frondifera,,Bossiella sp. #5 chiloensis,,yes,7/16/2013,,x(KH),,,,,,Coralline,"Hakai,  Between 5th + 6th beach (boulder field) ",28-May-13,very flattened,A89881,,low intertidal,,,,,,
561,Bossiella sp. 5chiloensis,,Bossiella sp.,,yes,7/16/2013,,x(KH),,,,,,Coralline,"Hakai,  Fifth Beach Exposed Pt. ",28-May-13,on rock,A89882,,low intertidal,,,,,,
562,Bossiella reptans,,Bossiella sp.,,yes,7/16/2013,13viv13,x(KH),,,,,,Coralline,"Hakai,  Fifth Beach Exposed Pt.",28-May-13,,A89883,,low intertidal,,,,,,
563,Lithophyllum sp. 1,,Coralline crust ,,yes,7/22/2013,13viv13,x(KH),,,,,,Coralline,"Hakai,  Fifth Beach Exposed Pt.  (boulder channel)",28-May-13,"From Paul: 563 is an undescribed Lithophyllum species, my hypothesis is a subtidal specimen, related to subtidal sample I recently was sent from CA.",A89884,,low intertidal,,,,,,
564,Bossiella manzae,,Bossiella sp. #7 plumosa ?,,yes,7/22/2013,13viv13; 15i14,x(KH),,,,,,Coralline,"Hakai,  Fifth Beach Exposed Pt. ",28-May-13,PTM thinks looks like Biplumosa ,A89885,,"low intertidal, on rock wall",,,,,,
565,Bossiella dichotoma,,Bossiella sp. #2 chiloensis,,yes,7/22/2013,,x(KH),,,,,,Coralline,"Hakai,  Fifth Beach Exposed Pt.",28-May-13,on rock,A89886,,low intertidal,,,,,,
566,Bossiella frondifera,,Bossiella frondifera,,yes,7/22/2013,,x(KH),,,,,,Coralline,"Hakai,  Fifth Beach Exposed Pt.",28-May-13,beside C. silvae,A89887,,low intertidal,,,,,,
567,Johansenia macmillanii,for phylogeny,Johansenia macmillanii,,yes,7/22/2013,,x(KH),,,,,,Coralline,"Hakai,  Fifth Beach Exposed Pt.",28-May-13,photo #282,A89888,,"low intertidal, in tidepool",,,,,,
568,Bossiella hakaiensis,messy CO1 - get reverse psbA if we don't have it,Bossiella sp. ,,yes,7/22/2013,13viv13,x(KH),,,9xii13,,,Coralline,"Hakai,  Fifth Beach Exposed Pt.  (channel)",28-May-13,,A89889,,"low intertidal, below tunicate",,,,,,
569,Mastocarpus pachenicus,sequence 100% match in BOLD,Mastocarpus pachenicus,yes,x (JN),6/4/2015,,,"6/24/2015, +ve",x (JN),,,,Red,"Hakai,  Fifth Beach Exposed Pt.  (channel)",28-May-13,"cystocarpic, ground material reached half 0.1 mark, ground material left over in vial",A89890,,low intertidal,,,,,,
570,Farlowia sp. 1GWS,sequence 100% match in BOLD; rbcL was sequenced as well - no match to rbcL in Genbank; it appears this is a new species of Farlowia that needs description- it is significantly divergent from the other Farlowia species (>8% from F. conferta).,Farlowia mollis?,yes,x (JN),6/4/2015,,,"6/24/2015, +ve",x (JN),,,,Red,"Hakai,  Fifth Beach Exposed Pt.",28-May-13,"exposed morph, slippery, ground material reached half 0.1 mark, ground material left over in vial",A89891,,low intertidal,,,,,,
571,,CO1 messy - no other gene attempted,Membranoptera platyphylla,yes,x (JN),6/4/2015,,,"6/24/2015, +ve",x (JN); sequence is messy,,,,Red,"Hakai,  Fifth Beach Exposed Pt.",28-May-13,"beautiful, ground material was clumpy and reached half 0.1 mark, no genetic sample left over",A89892,,"low intertidal, on barnacle test",,,,,,
572,Pikea sp. 2californica,sequence 98.52% match in BOLD,Pikea of. pinnata,yes,x (JN),6/4/2015,,,"6/24/2015, +ve",x (JN); sequence somewhat messy,,,,Red,"Hakai,  Fifth Beach Exposed Pt.",28-May-13,"finely branched, ground material was clumpy and reached half 0.1 mark, no genetic sample left over",A89893,,low intertidal,,,,,,
573,Bryopsis corticulans,sequence 100% match in NCBI BLAST,Bryopsis plumosa,yes,x (JN),6/22/2015,,,,,,,,"Green","Hakai,  Fifth Beach Exposed Pt.  (channel)",28-May-13,"ground material did not reach half 0.1 mark, no genetic sample left in vial, PCR positive for tufA",A89894,,"low intertidal, among tunicates on vertical wall",,,,,,
574,Lessoniopsis littoralis,sequence 99.46% match in BOLD,Lessoniopsis littoralis,yes,x (JN),6/23/2015,,,"6/25/2015, +ve",x (JN),,,,"Brown","Hakai,  Fifth Beach Exposed Pt.",28-May-13,"left over ground material in vial, ground material reached half 0.1 mark",A89895,,low intertidal,,,,,,
575,Mazzaella dewreedei,sequence 100% match in BOLD,Mazzaella linearis,,x (JN),6/8/2015,,,"6/24/2015, +ve",x (JN),,,,Red,"Hakai,  Fifth Beach Exposed Pt.",28-May-13,"slightly irridescent; left over ground material in vial, ground material reached half 0.1 mark",A89896,,"low intertidal, on gooseneck barnacles",,,,,,
576,Ptilota hypnoides,sequence 100% match in BOLD,Neoptilota hypnoides,,x (JN),6/8/2015,,,"6/24/2015, +ve",x (JN),,,,Red,"Hakai,  Fifth Beach Exposed Pt.",28-May-13,"no genetic sample left over in vial, ground material reached half 0.1 mark",A89897,,"low intertidal, on Johansennia",,,,,,
577,Scytosiphon constrictus,sequence 98.52% match in BOLD; sequence quality moderate-good,Scytosiphon lomentaria,,x (JN),6/17/2015,,,"6/24/2015, +ve",x (JN); sequence is messy,,,,"Brown","Hakai,  Fourth Beach",28-May-13,"thick, in constrictions, left over ground material in vial, ground material reached half 0.1 mark, PCR band very faint after 1:40 dilution",A89898,,"low intertidal, on rock surrounded by sand",,,,,,
578,Neorhodomela aculeata,cannot verify Jimmy's sequencing info (this was not entered in the spreadsheet properly).,Odonthalia oregona,,x (JN),6/17/2015,,,"6/24/2015, +ve",x (JN); sequence is messy,,,,Red,"Hakai,  Between 5th + 6th beach (boulder field) ",27-May-13,"tetrasporophyte, left over ground material in vial, reached half 0.1 mark",A89899,,drift,,,,,,
579,Ptersiphonia bipinnata/Polyostea robusta,cannot verify Jimmy's sequencing info (this was not entered in the spreadsheet properly).,Pterosiphonia bipinnata,no,,,,,,,,,,Red,"Hakai,  Fifth Beach Exposed Pt.",28-May-13,"left over ground material in vial, ground material reached half 0.1 mark, PCR worked after 1:10 dilution",A89900,,"high intertidal, on Mytilus",,,,,,
580,Desmerestia sp. 2aculeata,sequence 100% match in BOLD,Desmerestia aculeata,,,,,,,,,,,,"Hakai,  Between 5th + 6th beach (boulder field) ",28-May-13,,A89901,,"subtidal, 3.5m",,,,,,
581,Griffithsia pacifica,sequence 99.12% match in BOLD,Griffithsia pacifica,,,,,,,,,,,,"Hakai, Maey Island",27-May-13,,A89902,,"subtidal, 3.5m",,,,,,
582,Plenosporum vancouverianum,CO1 messy; no other gene attempted,Plenosporium vancouverianum,,,,,,,,,,,,"Hakai, Maey Island",27-May-13,,A89903,,"subtidal, 9m",,,,,,
583,Cryptopleura ruprechtiana,99.76% match Cryptopleura ruprechtiana BOLD and NCBI for rbcL; CO1 messy,Hymenena sp.,,,,,,,,,,,,"Hakai,  Fifth Beach Exposed Pt.",27-May-13,,A89904,,"subtidal, 3.5m",,,,,,
584,,CO1 messy; no other gene attempted,Herpsiphonia plumula,,,,,,,,,,,Red,"Hakai, Maey Island",27-May-13,"ground material was clumpy, no genetic sample left in vial, ground material reached half 0.1 mark",A89905,,"subtidal, 3.5m",,,,,,
585,Erythrophyllum delesserioides,sequence 100% match in BOLD,Erythrophyllum delesserioides,,,,,,,,,,,,"Hakai,  Fifth Beach Exposed Pt.",27-May-13,,A89906,,"subtidal, 12m",,,,,,
586,Chondrachanthus exasperatus,sequence 100% match in BOLD,Chondrachanthus corymbiferus,,,,,,,,,,,,"Hakai,  Fifth Beach Exposed Pt.",27-May-13,,A89907,,"subtidal, 12m",,,,,,
587,Callophyllis pinnata,CO1 messy; no other gene attempted,Callophyllis pinnata,,,,,,,,,,,,"Hakai,  Fifth Beach Exposed Pt.",27-May-13,cystcampic?,A89908,,"subtidal, 12m",,,,,,
588,Callophyllis pinnata,CO1 messy; no other gene attempted,Callophyllis pinnata,,,,,,,,,,,,"Hakai,  Fifth Beach Exposed Pt.",27-May-13,tetrosporophyte,A89909,,"subtidal, 12m",,,,,,
589,Rhodomenia pacifica,sequence 100% match in BOLD,Rhodomenia pacifica,,,,,,,,,,,,"Hakai,  Fifth Beach Exposed Pt.",27-May-13,,A89910,,"subtidal, 12m",,,,,,
590,Mazzaella sanguinea,sequence 100% match in BOLD,Mazzaella sp.,,,,,,,,,,,,"Hakai,  Fifth Beach Exposed Pt.",27-May-13,,A89911,,"subtidal, 12m",,,,,,
591,Rhodomenia pacifica,sequence 100% match in BOLD,Rhodomenia pacifica,,,,,,,,,,,,"Hakai,  Fifth Beach Exposed Pt.",27-May-13,,A89912,,"subtidal, 12m",,,,,,
592,Pyropia gardneri,Extract P848; confirmed ID 18-Dec-2013 SCL,Pyropia gardneri,,,,,,,,,,,,"Hakai,  Fifth Beach Exposed Pt.",27-May-13,,A89913,,"subtidal, 7m",,,,,,
593,,PCR failed three times,Coralline crust ,,yes; re-extracted 2xii13,7/22/2013,15i14 (with 2xii13 DNA),,,,,,,Coralline,"Hakai,  Fifth Beach Exposed Pt. Subtidal",27-May-13,,A89914,,"subtidal, 12m, on Balanus nubilus",,,,,,
594,,CO1 messy; no other gene attempted,Mazzaella sanguinea,,x (JN),6/17/2015,,,"6/24/2015, +ve",x (JN); sequence is messy,,,,Red,"Hakai,  Fifth Beach Exposed Pt. Subtidal",27-May-13,"no genetic sample left in vial, ground material reached half 0.1 mark",A89915,,"subtidal, 12m ",,,,,,
595,Bossiella sp. 1chiloensis,,Bossiella sp. #1 chiloensis,,yes,7/22/2013,,x(KH),,,8i14,,,Coralline,"Hakai,  Fifth Beach Exposed Pt. Subtidal",27-May-13,deeply sagitate,A89916,,"subtidal, 7m, exposed pt.",,,,,,
596,Callophyllis crenulata,sequence 100% match in BOLD,Callophyllus sp.,,x (JN),6/17/2015,,,"6/24/2015, +ve",x (JN),,,,Red,"Hakai,  Fifth Beach Exposed Pt. Subtidal",27-May-13,"no genetic sample left in vial, ground material reached half 0.1 mark",A89917,,"subtidal, 12m",,,,,,
597,Prionitis sp. 2lanceolata,sequence 93.3% match in BOLD - sequence is messy but looks more similar to lanceolata than sternbergii; no other genes attempted,Prionitis sternbergii,,x (JN),6/17/2015,,,"6/24/2015, +ve",x (JN) sequence is messy,,,,Red,"Hakai,  Fifth Beach Exposed Pt. Subtidal",27-May-13,"left over ground material in vial, ground material reached half 0.1 mark",A89918,,"subtidal, 7m",,,,,,
598,Mazzaella dewreedei,sequence 100% match in BOLD,Mazzaella linearis,,x (JN),6/18/2015,,,"6/24/2015, +ve",x (JN),,,,Red,"Hakai,  Fifth Beach Exposed Pt. Subtidal",27-May-13,"15 cm !, left over ground material in vial, ground material reached half 0.1 mark",A89919,,"subtidal, 7m",,,,,,
599,Johansenia macmillanii,,Johansenia macmillanii,,yes,7/22/2013,,x(KH),,,,,,Coralline,"Hakai,  Fifth Beach Exposed Pt. Subtidal",27-May-13,,A89920,,"subtidal, 7m",,,,,,
600,Bossiella sp. 5chiloensis,,Johansenia macmillanii ?,,yes,7/22/2013,,x(KH),,,,,,Coralline,"Hakai,  Fifth Beach Exposed Pt. Subtidal",27-May-13,,A89921,,"subtidal, 7m",,,,,,
601,Bossiella hakaiensis,"try get reverse psbA if we don't have it, messy CO1",Bossiella sp. #5 chiloensis,,yes,7/23/2013,16viv13(failed); 30viv13,x(KH),,,9xii13,,,Coralline,"Hakai,  Fifth Beach Exposed Pt. Subtidal",27-May-13,,A89922,,"subtidal, 7m",,,,,,
602,,"PCR failed three times, try re-extraction",Melobesia mediocris,,yes,7/23/2013,,,,,,,,Coralline,"Hakai,  Fifth Beach Exposed Pt. Subtidal",27-May-13,,A89923,,"subtidal, 7m",,,,,,
603,,CO1 messy; no other gene attempted,Neodilsea borealis,,x (JN),6/18/2015,,,"6/24/2015, +ve",x (JN) sequence is messy,,,,Red,"Hakai,  Wedgeborough Pt.",28-May-13,"on small rock,left over ground material in vial, ground material reached half 0.1 mark",A89924,,"subtidal, 30ft",,,,,,
604,,CO1 messy; no other gene attempted,Weeksia coccinea,,x (JN),6/18/2015,,,"6/24/2015, +ve",x (JN) sequence is messy,,,,Red,"Hakai,  Wedgeborough Pt.",28-May-13,"left over ground material in vial, ground material reached half 0.1 mark",A89925,,"subtidal, 30ft",,,,,,
605,Opuntiella sp. 2californica,"sequence 100% match for both in BOLD",Opuntiella californica,,x (JN),6/18/2015,,,"6/29/2015, +ve",,,,,Red,"Hakai,  Wedgeborough Pt.",28-May-13,"ground material reached half 0.1 mark, no genetic sample left over in vial, PCR worked after 1:10 dilution",A89926,,"subtidal, 30ft",,,,,,
606,Pterothamnion villosum,sequence 92.07% with Pterothamnion villosum in BOLD,Pterothamnion villosum,,x (JN),6/18/2015,,,"6/24/2015, +ve",x (JN) sequence is messy,,,,Red,"Hakai,  Wedgeborough Pt.",28-May-13,"ground material reached half 0.1 mark, no genetic sample left over in vial",A89927,,"subtidal, 30ft; on clam siphon",,,,,,
607,,CO1 messy; no other gene attempted,"Pugetia fragillisima",,x (JN),6/18/2015,,,"6/29/2015, +ve",,,,,Red,"Hakai,  Wedgeborough Pt.",28-May-13,"ground material reached half 0.1 mark, no genetic sample left over in vial, lots of silicia beads attached onto sample, PCR worked after 1:10 dilution",A89928,,"subtidal, 30ft",,,,,,
608,,CO1 messy; no other gene attempted,Pterothamnion heteromorphum,,x (JN),6/18/2015,,,"6/24/2015, +ve",x (JN) sequence is messy,,,,Red,"Hakai,  Wedgeborough Pt.",28-May-13,"ground material reached half 0.1 mark, no genetic sample left over in vial",A89929,,"subtidal, 30ft; on clam siphon",,,,,,
609,,CO1 messy; no other gene attempted,Pleonosporium vancouverianum,,x (JN),6/18/2015,,,"6/24/2015, +ve",x (JN) sequence is messy,,,,Red,"Hakai,  Wedgeborough Pt.",28-May-13,"no genetic sample left in vial, ground material was very pasty",A89930,,"subtidal, 30ft; on clam siphon",,,,,,
610,,sequence 97.64% match with Scagelia pylaisaei in BOLD,Scagelia occidentale,,x (JN),6/18/2015,,,"6/24/2015, +ve",x (JN) sequence is messy,,,,Red,"Hakai,  Wedgeborough Pt.",28-May-13,"ground material reached half 0.1 mark, no genetic sample left over in vial",A89931,,"subtidal, 30ft; on clam siphon",,,,,,
611,Bossiella orbigniana,,Bossiella orbigniana,,yes,7/23/2013,,x(KH),,,,,,Coralline,"Hakai,  Wedgeborough Pt.",28-May-13,,A89932,,"subtidal, 6m",,,,,,
612,,CO1 messy; no other gene attempted,Gelidium purpurascens,,x (JN),6/18/2015,,,"6/24/2015, +ve",x (JN) sequence is messy,,,,Red,"Hakai,  Wedgeborough Pt.",28-May-13,"no genetic sample left in vial, ground material reached half 0.1 mark",A89933,,"subtidal, 6m",,,,,,
613,Dictyosiphon sp. 4GWS,sequence match 100% in BOLD; sp.4GWS is sister to a clade containing Asperococcus spp. And also Haplogloia spp.  Not sure why Gary placed this species in Dictyosiphon as it is more closely related to Haplogloia (or Asperococcus).  Regardless it is a distinct species.,Haplogloia andersonii,,x (JN),6/23/2015,,,"7/9/2015, +ve",x (JN),,,,"Brown","Hakai,  Wedgeborough Pt.",28-May-13,"unilocular sporangia present, sample was very attached to kimwipe, which was difficult to separate, some kimwipe in ground material, PCR worked after 1:40 dilution",A89934,,"subtidal, 6m; on clam shell",,,,,,
614,Neodilsea borealis,sequence 91.01% match with Neodilsea borealis in BOLD,Neodilsea borealis,,x (JN),6/19/2015,,,"6/24/2015, +ve",x (JN) sequence is messy,,,,Red,"Hakai,  Wedgeborough Pt.",28-May-13,"on cobble, in sand, left over ground material in vial, ground material reached half 0.1 mark, lots of silicia beads attached onto sample",A89935,,"subtidal, 6m",,,,,,
615,,vial not in Martone lab - check with Sandra?; not extracted,Cladophora sericea,no,,,,,,,,,,Green,"Hakai,  Wedgeborough Pt.",28-May-13,drift,A89936,,"subtidal, 3m; drift",,,,,,
616,Ptilota tenuis,sequence 99.77% match in BOLD,Ptilota tenuis,,x (JN),6/19/2015,,,"6/24/2015, +ve",x (JN),,,,Red,"Hakai,  Wedgeborough Pt.",28-May-13,"left over ground material in vial, ground material reached half 0.1 mark",A89937,,"subtidal, 3m; on rock",,,,,,
617,,CO1 messy; no other gene attempted,Polysiphonia pacifica,,x (JN),6/19/2015,,,"6/29/2015, +ve",,,,,Red,"Hakai,  Wedgeborough Pt.",28-May-13,"left over ground material in vial, ground material reached half 0.1 mark, PCR worked after 1:10 dilution",A89938,,"subtidal, 3m ",,,,,,
618,Pseudolithophyllum sp. 1whidbeyense,"need reverse; re-PCR failed, PCR CO1 failed",Pseudolithophyllum whidbeyense,,yes 30viv13,10/1/2013,1V13; 15i14,x(KH),8v15,X (CJ),,X (CJ),,Coralline,Botany Bay,19-Sep-13,unknown life stage - assumed gamet,A89693,,"low intertidal, on rock",,,,,,
619,,"PCR failed twice, PCR failed with re-extracted DNA",Pseudolithophyllum whidbeyense,,yes 30viv13; re-extracted 2xii13,10/1/2013,1V13 (failed); 10x13(failed); 15i14 (using 2xii13 DNA),no genetic determination,,,,,,Coralline,Botany Bay,19-Sep-13,unknown life stage - assumed gamet,A89694,,"low intertidal, on rock",,,,,,
620,Johansenia macmillanii ,,Johansenia macmillanii,,yes 30viv13,10/1/2013,1V13,x(KH),,,,,,Coralline,Botany Bay,19-Sep-13,bisporangial - accidently lost flow file,A89695,,"low intertidal, pool",,,,,,
621,Johansenia macmillanii ,,Johansenia macmillanii,,yes 30viv13,10/1/2013,1V13,x(KH),,,,,,Coralline,Botany Bay,19-Sep-13,male,A89696,,"low intertidal, pool",,,,,,
622,,PCR failed twice; PCR with re-extracted DNA failed,Coralline crust,,yes 30viv13; re-extracted 2xii13,10/1/2013,1V13 (failed); 10x13 (failed); 15i14(using 2xii13 DNA),,,,,,,Coralline,Botany Bay,19-Sep-13,unknown life stage ,A89954,,"low intertidal, surge channel",,,,,,
623,Chiharaea silvae,,Chiharaea silvae,,yes 30viv13,10/1/2013,1V13,x(KH),,,,,,Coralline,Botany Bay,19-Sep-13,male?,A89955,,low pool,,,,,,
624,Bossiella plumosa,for phylogeny,Bossiella plumosa?,,yes 30viv13,10/1/2013,1V13; 15i14,x(KH),,X (July 2014) CJ,,,,Coralline,Botany Bay,19-Sep-13,bisporangial ,A89956,,low pool,y,,,,,
625,Chiharaea silvae,,Chiharaea silvae,,yes 30viv13,10/1/2013,1V13,x(KH),,,,,,Coralline,Botany Bay,19-Sep-13,male gametophyte,A89957,,low pool,,,,,,
626,Chiharaea silvae,"Messy seq, need rev, most likely C. silvae crust?",Pseudolithophyllum whidbeyense,,yes 30viv13,10/1/2013,1V13; 10x13 (failed); 15i14 (failed),x(KH),,,,,,Coralline,Botany Bay,19-Sep-13,bisporangial,A89958,,low surge channel,,,,,,
627,Pseudolithophyllum sp.19muricatum,"Messy seq, need rev",Pseudolithophyllum muricatum ,,yes 30viv13,10/1/2013,1V13; 10x13 (failed); 15i14 (failed),,,X (CJ),,X(CJ),,Coralline,Botany Bay,19-Sep-13,unknown life stage,A89959,,low pool,,,,,,
628,Johansenia macmillanii ,,Johansenia sp. ?,,yes 30viv13,10/1/2013,1V13,x(KH),,,,,,Coralline,Botany Bay,19-Sep-13,assumed male because axial conceptacles observed macroscopically,A89960,,low pool,,,,,,
