PTM#,Final determination,genetic match/notes,Determination in the field,Vial in Martone Lab?,Extracted?,Date of Extraction,PCR date (psbA),psbA sequence?,PCR date (CO1),CO1 sequence?,PCR date (rbcL),RbcL sequence?,SSU sequence?,Red/Green/Brown,Locality,Date Collected,Notes,Accession #,Missing accession,Habitat,Fragments available?,Latitude,Longitude,Main Collector,Other collectors ,Determiners
13,no match for COI,psbA failed ,Haliptilon gracile,,yes,4/9/2013,14i14 (failed),,4/11/2013,yes- forward only (short and weak signal),,,,Coralline,"Crystal  Cove, Laguna Beach, CA",28-Aug-07,,A88580,,Collected from drift,,,,,,
14,Not A. zonata; A beauvoisii?,messy sequence. gave up,Amphiroa zonata,,yes- 2 50 ul elutions,4/10/2013,14i14,,,,,x (PG),,Coralline,"Treasure Cove, Laguna Beach, CA",28-Aug-07,,A88581,,"Epilithic, -2.0 ft collected by snorkel",,,,,,
15,Bossiella dichotoma,,Bossiella orbigniana, ,yes,1x07 (PG),,,,,,x (PG),,Coralline,"Crystal  Cove, Laguna Beach, CA",28-Aug-07,,A88582,,Collected from drift,,,,,,
18,,psbA failed,Melobesia mediocris,,yes- 2 50 ul elutions,4/10/2013,14i14,,,,,,,Coralline,"Hopkins Marine Station, Pacific Grove, CA",2007 Sept 26,2 DNA samples (one from Paul),A88583,,"On Phyllospadix, in low intertidal, down from HMS water towers",,,,,,
19,Callilithophytum parcum,,Clathromorphum parcum,,,,,,,,,x (PG),,Coralline,"Hopkins Marine Station, Pacific Grove, CA",2007 Sept 26,,A88584,,"On Calliarthron,low intertidal",,,,,,
20,Bossiella dichotoma,,Bossiella gardneri (?),,yes,24x07 (PG),,,,,,x (PG),,Coralline,"Hopkins Marine Station, Pacific Grove, CA",2007 Sept 26,,A88585,,"Epilithic, low intertidal",,,,,,
21,Bossiella dichotoma,,Bossiella dichotoma (?),,yes,24x07 (PG),,,,,,x (PG),,Coralline,"Hopkins Marine Station, Pacific Grove, CA",26.ix.2007,,A88586,,"epilithic, low intertidal",,,,,,
24,,Bossiella Californica? needs forward sequence,Bossiella corymbifera,,yes,24/4/2013,14i14,,,,,,,Coralline,"Hopkins Marine Station, Pacific Grove, CA",2007 Sept 26,,A88587,,"Epilithic, low intertidal, one headland East of Pt. Pinos",,,,,,
25,Bossiella californica,,Bossiella corymbifera,,,,,,,,,x (PG),,Coralline,"Hopkins Marine Station, Pacific Grove, CA",1.xii.2007,,A88588,,"drift, Agassiz Beach",,,,,,
26,"no amp, no material remaining",,Melobesia marginata,,,,,,,,,,,Coralline,"Hopkins Marine Station, Pacific Grove, CA",04-Dec-07,,A88589,,On Gymnogongrus collected in drift on Agassiz Beach,,,,,,
27,Corallina pinnatifolia,"psbA failed; NEED RESEARCH ANNOTATION, PWG has sequence",Corallina pinnatifolia,,yes- no band on genomic gel,24/4/2013,14i14,,,,,,,Coralline,"Corona del Mar, Laguna Beach, CA",10.x.2007,,A88590,,"Epilithic, growing in tidepool",,,,,,
28,Calliarthron cheilosporioides,,Calliarthron sp.,,,,,,,,,x (PG),,Coralline,"Hopkins Marine Station, Pacific Grove, CA",8.i.2008,,A87287,,epilithic low intertidal,,,,,,
29,Calliarthron tuberculosum,,Calliarthron tuberculosum,,,,,,,,,x (PG),,Coralline,"Hopkins Marine Station, Pacific Grove, CA",08-Jan-08,,A87288,,"Upper low intertidal, above C. cheilosporioides, forming low dense monospecific clusters",,,,,,
30,,did not attempt because we have enough C. cheilosporioides sequences,Calliarthron cheilosporioides,,,,,,,,,x (PG),,Coralline,"Hopkins Marine Station, Pacific Grove, CA",20-Jan-08,,A87289,,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool",,,,,,
31,Calliarthron tuberculosum,,Calliarthron tuberculosum,,,,,,,,,x (PG),,Coralline,"Hopkins Marine Station, Pacific Grove, CA",20-Jan-08,,A87290,,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool",,,,,,
32,Calliarthron cheilosporioides,,Calliarthron cheilosporioides,,,,,,,,,x (PG),,Coralline,"Hopkins Marine Station, Pacific Grove, CA",20-Jan-08,,A87291,,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool",,,,,,
33,Bossiella dichotoma,,Bossiella gardneri,,yes,23ii08 (PG),,,,,,x (PG),,Coralline,"Hopkins Marine Station, Pacific Grove, CA",20-Jan-08,,A88591,,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool",,,,,,
34,,psbA failed,Bossiella gardneri,,yes- 2 50 ul elutions,,14i14,X (July 2014 CJ),,,,,,Coralline,"Hopkins Marine Station, Pacific Grove, CA",20-Jan-08,,A88592,,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool",,,,,,
35,Bossiella dichotoma,,Bossiella gardneri,,yes,25ii08 (PG),,,,,,x (PG),,Coralline,"Hopkins Marine Station, Pacific Grove, CA",20-Jan-08,,A88593,,"Epilithic, -0.5 to 0.0 m, down from 4 dynamometer tidepool",,,,,,
